CODIGO,NOME,TURNO
01GV,ADMINISTRAÇÃO,INTEGRAL
46A,ADMINISTRAÇÃO,NOTURNO
26A,ADMINISTRAÇÃO,INTEGRAL
54A,ADMINISTRAÇÃO - EAD - PILOTO JUIZ DE FORA,INTEGRAL
58A,ADMINISTRAÇÃO - EAD - POLO BICAS,INTEGRAL
58B,ADMINISTRAÇÃO - EAD - POLO BOA ESPERANÇA,INTEGRAL
58C,ADMINISTRAÇÃO - EAD - POLO ILICINEA,INTEGRAL
58D,ADMINISTRAÇÃO - EAD - POLO PESCADOR,INTEGRAL
58E,ADMINISTRAÇÃO - EAD - POLO SALINAS,INTEGRAL
79A,ADMINISTRAÇÃO PÚBLICA - UAB - PÓLO BEIRA - MOÇAMBIQUE,INTEGRAL
74A,ADMINISTRAÇÃO PÚBLICA - UAB - PÓLO DE BICAS,INTEGRAL
74B,ADMINISTRAÇÃO PÚBLICA - UAB - PÓLO DE JUIZ DE FORA,INTEGRAL
74C,ADMINISTRAÇÃO PÚBLICA - UAB - PÓLO DE UBÁ,INTEGRAL
79B,ADMINISTRAÇÃO PÚBLICA - UAB - PÓLO LICHINGA - MOÇAMBIQUE,INTEGRAL
79C,ADMINISTRAÇÃO PÚBLICA - UAB - PÓLO MAPUTO - MOÇAMBIQUE,INTEGRAL
33A,ARQUITETURA E URBANISMO,INTEGRAL
03L,ARTES,INTEGRAL
03A,ARTES,INTEGRAL
03B,ARTES,INTEGRAL
66C,BACHARELADO EM ARTES VISUAIS,NOTURNO
66B,BACHARELADO EM CINEMA E AUDIOVISUAL,INTEGRAL
66D,BACHARELADO EM DESIGN,INTEGRAL
66E,BACHARELADO EM MODA,INTEGRAL
66A,BACHARELADO INTERDISCIPLINAR EM ARTES E DESIGN,INTEGRAL
73A,BACHARELADO INTERDISCIPLINAR EM CIÊNCIAS HUMANAS,NOTURNO
72A,BACHARELADO INTERDISCIPLINAR EM CIÊNCIAS HUMANAS,DIURNO
65C,CIÊNCIA DA COMPUTAÇÃO,INTEGRAL
35A,CIÊNCIA DA COMPUTAÇÃO,NOTURNO
22A,CIÊNCIA DA COMPUTAÇÃO,INTEGRAL
72BL,CIÊNCIA DA RELIGIÃO,NOTURNO
73BL,CIÊNCIA DA RELIGIÃO,NOTURNO
73B,CIÊNCIA DA RELIGIÃO,NOTURNO
72B,CIÊNCIA DA RELIGIÃO,NOTURNO
01A,CIÊNCIAS BIOLÓGICAS,INTEGRAL
01L,CIÊNCIAS BIOLÓGICAS,INTEGRAL
01B,CIÊNCIAS BIOLÓGICAS,INTEGRAL
01ABI,CIÊNCIAS BIOLÓGICAS,INTEGRAL
02GV,CIÊNCIAS CONTÁBEIS,INTEGRAL
77A,CIÊNCIAS CONTÁBEIS,INTEGRAL
78A,CIÊNCIAS CONTÁBEIS,NOTURNO
51A,CIÊNCIAS ECONÔMICAS,NOTURNO
05A,CIÊNCIAS ECONÔMICAS,INTEGRAL
03GV,CIÊNCIAS ECONÔMICAS,INTEGRAL
65A,CIÊNCIAS EXATAS,INTEGRAL
72CL,CIÊNCIAS SOCIAIS,INTEGRAL
31B,CIÊNCIAS SOCIAIS,INTEGRAL
31L,CIÊNCIAS SOCIAIS,INTEGRAL
73CL,CIÊNCIAS SOCIAIS,NOTURNO
73CB,CIÊNCIAS SOCIAIS,NOTURNO
72CB,CIÊNCIAS SOCIAIS,INTEGRAL
31A,CIÊNCIAS SOCIAIS,NOTURNO
73C,CIÊNCIAS SOCIAIS - ABI,NOTURNO
72C,CIÊNCIAS SOCIAIS - ABI,NOTURNO
12A,COMUNICAÇÃO SOCIAL,INTEGRAL
47A,COMUNICAÇÃO SOCIAL,NOTURNO
80A,CONVENIOS EXTERIOR,DIURNO
90A,CONVÊNIOS OUTRAS IFES,DIURNO
