Nome,Sigla
DEPTO DE MATEMATICA /ICE,MAT
DEPARTAMENTO DE ANATOMIA,ANA
DEPTO DE MORFOLOGIA /ICB,MOR
DEPTO MATERNO INFANTIL /MED,MAI
DEPTO DE CLINICA MEDICA /MED,CME
DEPTO DE CIRURGIA /MED,CIR
DEPTO DE SAUDE COLETIVA/MED,SCO
DEPARTAMENTO DE MEDICINA VETERIN?RIA,VET
"DEPTO DE PARASITOLOGIA, MICROBIOLOGIA E IMUNOLOGIA",PMI
DEPTO DE PATOLOGIA /MED,PAT
DEPTO DE PSICOLOGIA /ICH,PSI
DEPTO DE QUIMICA /ICE,QUI
COORDENA��O DO CURSO CIENCIAS EXATAS,CCE
DEPTO DE FISIOLOGIA /ICB,FSI
DEPTO DE FUNDAM.M�TODOS E RECURSOS EM FISIOTERAPIA,FMR
DEPTO DE LETRAS,LET
DEPTO DE LETRAS ESTRANGEIRAS MODERNAS,LEM
DEP DE DIREITO PUBLICO FORMAL ETICA PROFISSIONAL,DPF
DEPTO DE DIREITO PUBLICO MATERIAL /DIR,DPM
DEPTO DE DIREITO PRIVADO /DIR,DPR
DEPTO DE ENFERMAGEM APLICADA /ENF,EAP
DEPTO DE ENFERMAGEM BASICA /ENF,EBA
DEPTO DE ECONOMIA E FINANCAS /ECO,ECO
DEPTO ENF MAT INFANTIL SAUDE PUBLIC /ENF,EMP
DEPTO DE CIRCUITOS ELETRICOS /ENG,CEL
DEPTO DE ENERGIA ELETRICA /ENG,ENE
DEPTO DE ENGENHARIA DE PRODU��O E MEC�NICA,EPD
DEPTO DE ESTATISTICA /ICE,EST
DEPTO DE MECANICA APLICADA E COMPUTACIONAL,MAC
DEPTO DE FARMACOLOGIA /ICB,FAR
DEPTO DE FILOSOFIA /ICHL,FIL
DEPTO DE FISICA /ICE,FIS
DEPTO DE CIENCIA DA RELIGIAO /ICH,CRE
DEPTO DE CIENCIAS SOCIAIS/ICH,CSO
DEPTO DE CIENCIA DA COMPUTACAO /ICE,DCC
DEPTO DE CIENCIAS ADMINISTRATIVAS,CAD
DEPTO CIENCIAS FARMACEUTICAS,DCF
DEPTO BIOQUIMICA /ICB,BQU
DEPTO DE GEOCIENCIAS /ICH,GEO
DEPTO UNIVERSALIZACAO,PU
DEPARTAMENTO DE NUTRICAO,NUT
DEPTO DE BIOLOGIA /ICB,BIO
DEPTO DE BOTANICA /ICB,BOT
DEPTO DE FINANCAS E CONTROLADORIA,FIN
DEPTO DE TRANSPORTES E GEOTECNIA -TRN,TRN
DEPTO DE HISTORIA /ICH,HIS
DEPTO FUNDAMENTOS SERV SOCIAL /SSO,FSS
DEPARTAMENTO DE CI�NCIAS B�SICAS DA VIDA,CBV
DEP Nutri��o - Campus Governador Valadares,NUTGV
"DEPTO DE PROJ., REP. E TEC. DA ARQUITETURA E DO URBANISMO",PRT
DEPARTAMENTO DE ENGENHARIA SANITARIA AMBIENTAL,ESA
"DEPTO DE PROJ., HIST�RIA E TEORIA DA ARQUIT, E DO URBANISMO",PHT
DEP Farmacia - Campus Governador Valadares,FCOGV
DEP Economia - Campus Governador Valadares,ECOGV
DEP MEDICINA - CAMPUS GOVERNADOR VALADARES,MEDGV
DEPTO DE ZOOLOGIA /ICB,ZOO
UNIVERSALIZA�AO INFORMATICA,PUI
DEPTO DE TURISMO / ICH,TUR
DEP EDUCA��O F�SICA - CAMPUS GOVERNADOR VALADARES,EDFGV
DEP ODONTOLOGIA - CAMPUS GOVERNADOR VALADARES,ODOGV
DEPARTAMENTO DE MEDICINA VETERIN�RIA,VET
DEPARTAMENTO DE MEDICINA VETERIN�RIA,VET
DEPARTAMENTO DE CIï¿½NCIAS Bï¿½SICAS DA VIDA,CBV
DEP Nutriï¿½ï¿½o - Campus Governador Valadares,NUTGV
DEP FISIOTERAPIA - CAMPUS GOVERNADOR VALADARES,FSTGV
DEPTO DE MUSICA /IAD,MUS
DEPARTAMENTO DE EDUCAï¿½ï¿½O,EDU
DEPTO DE LETRAS,LET
DEPARTAMENTO DE CI�NCIAS B�SICAS DA VIDA,CBV
DEP Nutri��o - Campus Governador Valadares,NUTGV
DEP Administra��o - Campus Governador Valadares,ADMGV
DEP Ci�ncias Cont�beis - Campus Governador Valadares,CCOGV
DEP DIREITO - CAMPUS GOVERNADOR VALADARES,DIRGV
DEP EDUCA��O F�SICA - CAMPUS GOVERNADOR VALADARES,DEFGV
DEPTO DE FUNDAM.M�TODOS E RECURSOS EM FISIOTERAPIA,FMR
DEPTO DE ODONT SOCIAL E INFANTIL /ODON,OSI
DEPTO DE CLINICA ODONTOLOGICA /ODON,DCO
UNIVERSALIZA�AO INFORMATICA,UNI
DEPTO POLIT ACAO SERVICO SOCIAL /SSO,PSS
"DEPTO DE FST DO IDOSO,DO ADULTO E MATERNO-INFANTIL",FIA
DEPTO DE FST CARDIORRESPIRAT�RIA E M�SCULOESQUEL�TICA,FCM
DEPTO DE CONSTRUCAO CIVIL /ENG,CCI
DEPTO DE ESTRUTURAS /ENG,ETU
DEPTO DE ENGENHARIA DE PRODU��O E MEC�NICA,EPD
"DEPTO DE PROJ., HIST�RIA E TEORIA DA ARQUIT, E DO URBANISMO",PRT
DEPTO DE ARTES /IAD,ART
COORDENA��O DO CURSO CIENCIAS EXATAS,CCE
DEPTO DE T�CNICAS PROFISSIONAIS E CONTE�DOS ESTRAT�GICOS/COM,TPC
DEPTO DE M�TODOS APLICADOS E PR�TICAS LABORATORIAIS /COM,MAP
"DEPTO DE FUNDAMENTOS, TEORIAS E CONTEXTOS /COM",FTC
DEPTO DE ODONTOLOGIA RESTAURADORA /ODON,DOR
DEPTO GINASTICA ARTE CORPORAL /EFID,GAC
DEPTO FUNDAMENTOS / EFID,FUN
DEPTO DESPORTOS / EFID,DES
DEPTO DE ECONOMIA /ECO,ECO
DEP Administração - Campus Governador Valadares,ADMGV
DEP Ciências Contábeis - Campus Governador Valadares,CCOGV
DEP CiÃªncias ContÃ¡beis - Campus Governador Valadares,CCOGV
DEP CiÃªncias ContÃ¡beis - Campus Governador Valadares,CCOGV
DEPARTAMENTO DE EDUCAÃ\x83Â\x83Ã\x82Â\x87Ã\x83Â\x83Ã\x82Â\x83O,EDU
DEPARTAMENTO DE CIÃ\x83Â\x8aNCIAS BÃ\x83Â\x81SICAS DA VIDA,CBV
DEPARTAMENTO DE CIÊNCIAS BÁSICAS DA VIDA,CBV
DEP NutriÃ§Ã£o - Campus Governador Valadares,NUTGV
DEP Nutrição - Campus Governador Valadares,NUTGV
DEP EDUCAÃ\x87Ã\x83O FÃ\x8dSICA - CAMPUS GOVERNADOR VALADARES,EDFGV
DEP EDUCAÇÃO FÍSICA - CAMPUS GOVERNADOR VALADARES,EDFGV
DEPTO DE TÉCNICAS PROFISSIONAIS E CONTEÚDOS ESTRATÉGICOS/COM,TPC
DEPTO DE FUNDAM.MÉTODOS E RECURSOS EM FISIOTERAPIA,FMR
DEPTO DE FST CARDIORRESPIRATÓRIA E MÚSCULOESQUELÉTICA,FCM
"DEPTO DE PROJ., HISTÓRIA E TEORIA DA ARQUIT, E DO URBANISMO",PHT
"DEPTO DE ENGENHARIA DE PRODUÇÃO E MECÂNICA",EPD
"UNIVERSALIZAÇAO INFORMATICA",PUI
"DEPARTAMENTO DE MEDICINA VETERINÁRIA",VET
"DEPTO DE MÉTODOS APLICADOS E PRÁTICAS LABORATORIAIS /COM",MAP
DEPARTAMENTO DE EDUCA��O,EDU
DEPARTAMENTO DE EDUCA�?�?O,EDU
DEPARTAMENTO DE EDUCA??O,EDU
"DEPARTAMENTO DE EDUCAÇÃO",EDU
