Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;Aluno;Ano Ingresso;Tipo Ingresso;Curso Aluno;IRA;Escola 2G;Bolsa Apoio;Tipos Bolsa;Outras Bolsas;Nota Final;Cidade;Estado;O plano de ensino apresentado pelo(a) docente contém: ementa, objetivos, metodologias de ensino, critérios de avaliação, cronograma, conteúdos e bibliografia da disciplina.;O(A) docente cumpriu o plano de ensino apresentado.;Os conteúdos foram ministrados de forma clara.;As atividades pedagógicas (aulas, atividades online e presenciais e etc) estimularam a sua participação.;Os recursos didáticos, audiovisuais e tecnológicos disponíveis contribuíram para o processo de ensino e aprendizagem.;Os critérios de avaliação foram compatíveis com os conteúdos ministrados.;O(A) docente deu retorno sobre todas as atividades realizadas.;A atuação e disponibilidade do(a) docente foram satisfatórias.;O(A) docente manteve um comportamento respeitoso e cortês em relação aos discentes.;A atuação e disponibilidade do(a) tutor(a) à distância foram satisfatórias.;O(A) tutor(a) à distância manteve um comportamento respeitoso e cortês em relação aos discentes.;As atividades propostas contribuíram para a aprendizagem dos conteúdos.;A disciplina contribuiu na preparação para o exercício profissional.;A disciplina contribuiu para a aquisição de cultura geral.;Sua motivação para estudar esta disciplina foi alta.;Você teve facilidade para acompanhar as atividades da disciplina.;Seu empenho durante a disciplina foi elevado.;A atuação do(a) tutor(a) presencial foi satisfatória.;A atuação do(a) assistente à docência foi satisfatória.;As estruturas física e tecnológica do polo foram compatíveis e atenderam ao desenvolvimento das atividades.;A atuação do(a) coordenador(a) de curso foi satisfatória.;O trabalho da secretaria do curso na UFJF foi satisfatório.;A atuação da UFJF em relação aos alunos e polo-UAB é satisfatória.
2019;1;ALUNO_TURMA;EF5AB31F6CC283490240B12260E2DB50;DEPTO DE MATEMATICA /ICE;C59896B15ABF342EE222B95B47C226B1;A;A251FC89CF1E3C21A99FF97B25E43E88;2013;Enem/Vaga de Edital;61F;46,45;ESCOLA ESTADUAL "QUINCA FRANCO";N;;;54;DURANDE;MG;4;3;4;4;4;4;4;2;5;4;5;4;4;3;3;4;3;5;4;5;5;5;5
2019;1;ALUNO_TURMA;EF5AB31F6CC283490240B12260E2DB50;DEPTO DE MATEMATICA /ICE;C59896B15ABF342EE222B95B47C226B1;A;F147FAC125D13F7F52BCAE775D778B61;2013;Enem/Vaga de Edital;62M;40,15;ESCOLA ESTADUAL "QUINCA FRANCO";N;;;23;DURANDE;MG;5;5;5;5;5;5;5;5;5;5;5;5;0;4;5;5;5;4;5;5;5;4;2
2019;1;ALUNO_TURMA;EF5AB31F6CC283490240B12260E2DB50;DEPTO DE MATEMATICA /ICE;C59896B15ABF342EE222B95B47C226B1;A;441BC2A84147E1BB6D6592AB95B9025A;2016;Vestibular;61H;28,37;ESCOLA ESTADUAL JOSÉ MARINHO DE ARAÚJO;N;;;54;JUIZ DE FORA;MG;5;5;3;4;4;3;5;5;5;5;5;5;5;5;5;4;5;5;5;2;5;5;4
2019;1;ALUNO_TURMA;6709273BFDC9958435690327076C560C;DEPTO DE MATEMATICA /ICE;A22BDFA2BDC5B5EBC7121C12AEF15164;A;155A372BA7D87D347C40161223D30C02;2014;Vestibular EAD Demanda Social;62O;44,75;ESCOLA ESTADUAL MANUEL INÁCIO PEIXOTO ;N;;;38;CATAGUASES;MG;3;5;4;4;3;5;5;5;5;5;5;5;5;5;5;4;;5;5;3;4;5;4
2019;1;ALUNO_TURMA;ACDC6CA44D15F6B9A4136255FC04E65F;DEPARTAMENTO DE EDUCAÇÃO;F42BDA34CB8DF7780AB1E79F6F275405;A;80AD60A7B2569DC727E0C62D847370B4;2014;Vestibular;37F;61,88;ESCOLA COMENDADOR GERALDO FREIRE DA SILVA;N;;;67;BOA ESPERANCA;MG;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;4;4;2;5;5;5;5;5
2019;1;ALUNO_TURMA;ACDC6CA44D15F6B9A4136255FC04E65F;DEPARTAMENTO DE EDUCAÇÃO;F42BDA34CB8DF7780AB1E79F6F275405;A;7D31B9D4977E4AEA70906258F67A287C;2017;Vestibular;37Q;88,04;ESCOLA ESTADUAL CORONEL CELSO RESENDE;N;;;72;BARBACENA;MG;3;4;4;4;3;4;1;3;;4;4
2019;1;ALUNO_TURMA;ACDC6CA44D15F6B9A4136255FC04E65F;DEPARTAMENTO DE EDUCAÇÃO;F42BDA34CB8DF7780AB1E79F6F275405;A;B7E3A75EF4FD71C86CC85B1034A0A684;2017;Vestibular;37T;81,74;Escola Estadual Prefeito Antônio Arruda;N;;;90;GUIRICEMA;MG;5;4;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;5;5;3;5;5;5
2019;1;ALUNO_TURMA;DA2503491A7992B5A62D8BED0B5FC8B0;DEPTO DE QUIMICA /ICE;9EEF660293506BEEC11B728729655CB9;A;31936908C89355521BF23FEB86629B25;2018;Vestibular/ENEM;59C;52,7;ESCOLA MUNICIPAL JOSÉ MARIA DA FONSECA;N;;;37;PONTE NOVA;MG;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;5;3;4;5
2019;1;ALUNO_TURMA;DA2503491A7992B5A62D8BED0B5FC8B0;DEPTO DE QUIMICA /ICE;9EEF660293506BEEC11B728729655CB9;A;667B05973549FABD61DDD0A94267E5EF;2018;Vestibular;59C;79,6;ESCOLA ESTADUAL PROFESSOR CÂNDIDO MOTTA FILHO;S;TRANSPORTE;;78;JUIZ DE FORA;MG;5;5;5;4;5;;;;;;;;;;;;;;;;5;4;5
2019;1;ALUNO_TURMA;DA2503491A7992B5A62D8BED0B5FC8B0;DEPTO DE QUIMICA /ICE;2AB4F66B2B013BB5F52ECDCB4D705308;A;C69615781521AE4144B8CA5EA9F8A703;2018;Vestibular;59C;63,85;ESCOLA DE 2º GRAU CIDADE DE JUIZ DE FORA;N;;;61;JUIZ DE FORA;MG;5;5;4;4;4;4;5;4;5;5;5;5;4;4;5;5;5;4;4;3;4;5;2
