Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;Cursos;Aluno;Ano Ingresso;Tipo Ingresso;Curso Aluno;IRA;Escola 2G;Bolsa Apoio;Tipos Bolsa;Outras Bolsas;Nota Final;Cidade;Estado;O plano de ensino apresentado pelo(a) docente contém: ementa, objetivos, metodologias de ensino, critérios de avaliação, cronograma, conteúdos e bibliografia da disciplina.;O(A) docente cumpriu o plano de ensino apresentado.;Os conteúdos foram ministrados de forma clara.;As atividades pedagógicas (aulas, atividades online e presenciais e etc) estimularam a sua participação.;Os recursos didáticos, audiovisuais e tecnológicos disponíveis contribuíram para o processo de ensino e aprendizagem.;Os critérios de avaliação foram compatíveis com os conteúdos ministrados.;O(A) docente deu retorno sobre todas as atividades realizadas.;A atuação e disponibilidade do(a) docente foram satisfatórias.;O(A) docente manteve um comportamento respeitoso e cortês em relação aos discentes.;A atuação e disponibilidade do(a) tutor(a) à distância foram satisfatórias.;O(A) tutor(a) à distância manteve um comportamento respeitoso e cortês em relação aos discentes.;As atividades propostas contribuíram para a aprendizagem dos conteúdos.;A disciplina contribuiu na preparação para o exercício profissional.;A disciplina contribuiu para a aquisição de cultura geral.;Sua motivação para estudar esta disciplina foi alta.;Você teve facilidade para acompanhar as atividades da disciplina.;Seu empenho durante a disciplina foi elevado.;A atuação do(a) tutor(a) presencial foi satisfatória.;A atuação do(a) assistente à docência foi satisfatória.;As estruturas física e tecnológica do polo foram compatíveis e atenderam ao desenvolvimento das atividades.;A atuação do(a) coordenador(a) de curso foi satisfatória.;O trabalho da secretaria do curso na UFJF foi satisfatório.;A atuação da UFJF em relação aos alunos e polo-UAB é satisfatória.
2019;3;ALUNO_TURMA;EF5AB31F6CC283490240B12260E2DB50;DEPTO DE MATEMATICA /ICE;C59896B15ABF342EE222B95B47C226B1;A;59B|59C|59E|59F|59H|61A|61B|61D|61E|61F|61G|61H|61I|62A|62D|62G|62J|62K|62L|62M|62N|62O|62P|62Q;A251FC89CF1E3C21A99FF97B25E43E88;2013;Enem/Vaga de Edital;61F;48,1;ESCOLA ESTADUAL "QUINCA FRANCO";N;;;74;DURANDE;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;EF5AB31F6CC283490240B12260E2DB50;DEPTO DE MATEMATICA /ICE;C59896B15ABF342EE222B95B47C226B1;A;59B|59C|59E|59F|59H|61A|61B|61D|61E|61F|61G|61H|61I|62A|62D|62G|62J|62K|62L|62M|62N|62O|62P|62Q;3AD25A39DF9721DDC56AF5569DEFD8D8;2018;Vestibular;61H;84,84;ESCOLA QUERUBINS LTDA.;N;;APOIO A EVENTOS|TREINAMENTO PROFISSIONAL|VESTIBULAR;82;CARANDAI;MG;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;5;5;5;5;5
2019;3;ALUNO_TURMA;EF5AB31F6CC283490240B12260E2DB50;DEPTO DE MATEMATICA /ICE;C59896B15ABF342EE222B95B47C226B1;A;59B|59C|59E|59F|59H|61A|61B|61D|61E|61F|61G|61H|61I|62A|62D|62G|62J|62K|62L|62M|62N|62O|62P|62Q;757117DEC8F9E7419C76376F3BE50B81;2016;Vestibular;61H;43,58;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS - CEFET/MG;N;;;4;JUIZ DE FORA;MG;4;5;4;3;3;4;5;4;5;5;5;4;2;2;2;2;2;5;5;5;3;5;4
2019;3;ALUNO_TURMA;EF5AB31F6CC283490240B12260E2DB50;DEPTO DE MATEMATICA /ICE;C59896B15ABF342EE222B95B47C226B1;A;59B|59C|59E|59F|59H|61A|61B|61D|61E|61F|61G|61H|61I|62A|62D|62G|62J|62K|62L|62M|62N|62O|62P|62Q;441BC2A84147E1BB6D6592AB95B9025A;2016;Vestibular;61H;42,4;ESCOLA ESTADUAL JOSÉ MARINHO DE ARAÚJO;N;;;65;JUIZ DE FORA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;4
2019;3;ALUNO_TURMA;EF5AB31F6CC283490240B12260E2DB50;DEPTO DE MATEMATICA /ICE;C59896B15ABF342EE222B95B47C226B1;A;59B|59C|59E|59F|59H|61A|61B|61D|61E|61F|61G|61H|61I|62A|62D|62G|62J|62K|62L|62M|62N|62O|62P|62Q;7BCE1344D6705B2F978F1106BCFA3E86;2015;Enem/Vaga de Edital;61G;44,29;CENTRO DE ENSINO INTEGRADO SAGRADO CORAÇÃO;N;;;60;GOVERNADOR VALADARES;MG;3;3;2;0;0;3;0;2;3;5;5;0;2;0;0;2;4;4;4;5;5;5;5
2019;3;ALUNO_TURMA;EF5AB31F6CC283490240B12260E2DB50;DEPTO DE MATEMATICA /ICE;C59896B15ABF342EE222B95B47C226B1;A;59B|59C|59E|59F|59H|61A|61B|61D|61E|61F|61G|61H|61I|62A|62D|62G|62J|62K|62L|62M|62N|62O|62P|62Q;5EF3510B38933EF6EF265A562D970758;2018;Vestibular;59E;64,04;ESCOLA ESTADUAL PROFESSOR ROUSSET;N;;;47;SETE LAGOAS;MG;5;5;3;2;1;4;3;2;5;3;5;2;3;3;2;1;1;4;4;0;5;5;5
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;BF136B02FDB6DCD1503EFDC59502D56B;2016;Vestibular;37P;86,7;ESCOLA ESTADUAL FRANCISCO ANTÔNIO PIRES;N;;;83;BARROSO;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;F45518A96693A04D853572B94D982D66;2017;Vestibular;37A;83,52;ESCOLA ESTADUAL MARIA ELBA BRAGA;N;;;90;JUIZ DE FORA;MG;4;4;4;3;4;3;3;4;4;4;4;4;3;4;4;3;3;4;3;3;4;4;4
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;8AFCFC82A7EEDCF6C1B7C7F38724486C;2016;Vestibular;37P;77,73;ESCOLA ESTADUAL ORDEM E PROGRESSO;N;;;68;BELO HORIZONTE;MG;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;269F83F3C90A2AF7B0D9A836411A52F3;2016;Vestibular/ENEM;37P;76,59;ESCOLA ESTADUAL EMBAIXADOR JOSÉ BONIFÁCIO;N;;;60;BARBACENA;MG;5;4;0;3;5;5;0;2;5;0;3;3;5;5;5;0;5;3;3;5;5;5;5
