Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;Cursos;O plano de ensino apresentado pelo(a) docente contém: ementa, objetivos, metodologias de ensino, critérios de avaliação, cronograma, conteúdos e bibliografia da disciplina.;Você cumpriu o plano de ensino apresentado.;Os conteúdos foram ministrados de forma clara.;As atividades pedagógicas (aulas, atividades online e presenciais e etc) estimularam a participação discente.;Os recursos didáticos, audiovisuais e tecnológicos disponíveis contribuíram para o processo de ensino e aprendizagem.;Os critérios de avaliação foram compatíveis com os conteúdos ministrados.;Você deu retorno aos discentes sobre as atividades realizadas.;A sua atuação e disponibilidade foram satisfatórias.;Você manteve um comportamento respeitoso e cortês em relação aos discentes.;A atuação e disponibilidade do(a) tutor(a) à distância foram satisfatórias.;O(A) tutor(a) à distância manteve um comportamento respeitoso e cortês em relação aos discentes e ao docente..;As atividades propostas contribuíram para a aprendizagem dos conteúdos.;A disciplina contribuiu na preparação para o exercício profissional dos discentes;A disciplina contribuiu para a aquisição de cultura geral dos discentes.;A motivação da turma para estudar essa disciplina foi alta.;A turma teve facilidade para acompanhar acompanhar as atividades da disciplina;O empenho da turma durante a disciplina foi elevado.;A atuação do(a) tutor(a) presencial foi satisfatória.;A atuação do(a) assistente à docência foi satisfatória.;As estruturas física e tecnológica dos polos foram compatíveis e atenderam ao desenvolvimento das atividades.;A coordenação dos polos e as secretarias deram o apoio necessário para a realização das atividades.;A atuação do(a) coordenador(a) do curso foi satisfatória.;O trabalho da secretaria do curso na UFJF foi satisfatório.
2019;1;DOCENTE_TURMA;7A37B360603BDF1752BAB96683E8A79E;DEPTO DE CIENCIAS ADMINISTRATIVAS;761892446DD3A0404900D56EFF80B374;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;3;2;0;0;0;0;5;5;
2019;1;DOCENTE_TURMA;7A37B360603BDF1752BAB96683E8A79E;DEPTO DE CIENCIAS ADMINISTRATIVAS;761892446DD3A0404900D56EFF80B374;B;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;3;2;0;0;0;0;5;5;
2019;1;DOCENTE_TURMA;7A37B360603BDF1752BAB96683E8A79E;DEPTO DE CIENCIAS ADMINISTRATIVAS;761892446DD3A0404900D56EFF80B374;C;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;3;2;0;0;0;0;5;5;
2019;1;DOCENTE_TURMA;7A37B360603BDF1752BAB96683E8A79E;DEPTO DE CIENCIAS ADMINISTRATIVAS;761892446DD3A0404900D56EFF80B374;D;5;5;5;5;5;5;5;5;5;3;5;5;5;5;2;3;2;0;0;0;0;5;5;
2019;1;DOCENTE_TURMA;7A37B360603BDF1752BAB96683E8A79E;DEPTO DE CIENCIAS ADMINISTRATIVAS;761892446DD3A0404900D56EFF80B374;E;5;5;5;5;5;5;5;5;5;3;5;5;5;5;2;3;2;0;0;0;0;5;5;
2019;1;DOCENTE_TURMA;477885BBC9B3D9199CE921B67C196DF5;DEPTO DE CIENCIA DA COMPUTACAO /ICE;3545B2821FEF470D0F80A4DD6C1AC75F;A;5;5;5;4;4;5;5;5;5;3;3;5;5;4;4;4;3;3;5;3;5;5;5;
2019;1;DOCENTE_TURMA;477885BBC9B3D9199CE921B67C196DF5;DEPTO DE CIENCIA DA COMPUTACAO /ICE;BB0736CF7F8FEBC630F1FEF3D74BF819;A;5;5;5;4;4;5;5;5;5;3;3;5;5;4;4;4;3;3;5;3;5;5;5;
2019;1;DOCENTE_TURMA;1087060ED54211EB107F50D0ABF67FD3;DEPTO DE MATEMATICA /ICE;1794730BDA4AAF9DC4BF69C1D8F308B3;A;0;0;5;1;3;5;3;4;5;5;5;5;5;5;1;1;1;0;0;0;0;5;5;
2019;1;DOCENTE_TURMA;F2C2871FC26D2C905EE2C871735909BE;DEPARTAMENTO DE EDUCA??O;C9DD5F2DD8282C9D6F09303F3EFCEAB9;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;4;0;5;5;5;5;
2019;1;DOCENTE_TURMA;F2C2871FC26D2C905EE2C871735909BE;DEPARTAMENTO DE EDUCA??O;B01305D7A26C6B892BD2244B3172C7D2;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;4;0;5;5;5;5;
