Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;O plano de ensino apresentado pelo(a) docente contém: ementa, objetivos, metodologias de ensino, critérios de avaliação, cronograma, conteúdos e bibliografia da disciplina.;Você cumpriu o plano de ensino apresentado.;Os conteúdos foram ministrados de forma clara.;As atividades pedagógicas (aulas, atividades online e presenciais e etc) estimularam a participação discente.;Os recursos didáticos, audiovisuais e tecnológicos disponíveis contribuíram para o processo de ensino e aprendizagem.;Os critérios de avaliação foram compatíveis com os conteúdos ministrados.;Você deu retorno aos discentes sobre as atividades realizadas.;A sua atuação e disponibilidade foram satisfatórias.;Você manteve um comportamento respeitoso e cortês em relação aos discentes.;A atuação e disponibilidade do(a) tutor(a) à distância foram satisfatórias.;O(A) tutor(a) à distância manteve um comportamento respeitoso e cortês em relação aos discentes e ao docente..;As atividades propostas contribuíram para a aprendizagem dos conteúdos.;A disciplina contribuiu na preparação para o exercício profissional dos discentes;A disciplina contribuiu para a aquisição de cultura geral dos discentes.;A motivação da turma para estudar essa disciplina foi alta.;A turma teve facilidade para acompanhar acompanhar as atividades da disciplina;O empenho da turma durante a disciplina foi elevado.;A atuação do(a) tutor(a) presencial foi satisfatória.;A atuação do(a) assistente à docência foi satisfatória.;As estruturas física e tecnológica dos polos foram compatíveis e atenderam ao desenvolvimento das atividades.;A coordenação dos polos e as secretarias deram o apoio necessário para a realização das atividades.;A atuação do(a) coordenador(a) do curso foi satisfatória.;O trabalho da secretaria do curso na UFJF foi satisfatório.
2019;3;DOCENTE_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;4;5;5;4;5;5;5;5;5;5;5;4;5;5;4;4;4;3;;4;5;5;5
2019;3;DOCENTE_TURMA;05E633C7C8F52AB449A2AB0987A0A753;DEPTO DE MATEMATICA /ICE;989D03065A12506B428527CE9F5427B2;A;3;5;5;4;5;5;5;4;5;3;5;4;4;2;1;1;2;3;1;4;5;1;5
2019;3;DOCENTE_TURMA;7A37B360603BDF1752BAB96683E8A79E;DEPTO DE CIENCIAS ADMINISTRATIVAS;38B8F07B9B811BA24E365DCCB36F82DE;A;5;5;5;5;5;5;4;5;5;5;5;5;5;5;3;4;3;5;0;0;5;5;5
2019;3;DOCENTE_TURMA;7A37B360603BDF1752BAB96683E8A79E;DEPTO DE CIENCIAS ADMINISTRATIVAS;38B8F07B9B811BA24E365DCCB36F82DE;B;5;5;5;5;5;5;4;5;5;5;5;5;5;5;3;4;3;5;0;0;5;5;5
2019;3;DOCENTE_TURMA;7A37B360603BDF1752BAB96683E8A79E;DEPTO DE CIENCIAS ADMINISTRATIVAS;38B8F07B9B811BA24E365DCCB36F82DE;C;5;5;5;5;5;5;4;5;5;5;5;5;5;5;3;4;3;5;0;0;5;5;5
2019;3;DOCENTE_TURMA;7A37B360603BDF1752BAB96683E8A79E;DEPTO DE CIENCIAS ADMINISTRATIVAS;38B8F07B9B811BA24E365DCCB36F82DE;D;5;5;5;5;5;5;4;5;5;3;4;5;5;5;3;4;3;5;0;0;5;5;5
2019;3;DOCENTE_TURMA;7A37B360603BDF1752BAB96683E8A79E;DEPTO DE CIENCIAS ADMINISTRATIVAS;38B8F07B9B811BA24E365DCCB36F82DE;E;5;5;5;5;5;5;4;5;5;3;4;5;5;5;3;4;3;5;0;0;5;5;5
2019;3;DOCENTE_TURMA;8D30710946192FA92C37D52F9A5AE46C;DEPTO DE FISICA /ICE;414C1D44E63CDB94614A0B3061A65CF5;A;5;5;5;4;5;4;4;4;5;5;5;4;4;4;3;2;3;5;5;2;5;5;5
2019;3;DOCENTE_TURMA;8D30710946192FA92C37D52F9A5AE46C;DEPTO DE FISICA /ICE;EEC0ADED8FAB6A1CB7AA231D771B1EDF;A;5;5;5;4;5;5;5;4;5;5;5;4;4;4;3;3;3;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;B7F4185CCDCCFAD075EA43EDECC710C9;DEPTO DE FISICA /ICE;27421F6CD52DAC5D8E5E863A96B79C48;A;5;5;4;4;5;5;4;4;5;5;5;5;5;5;4;4;3;5;0;3;4;5;5
2019;3;DOCENTE_TURMA;B7F4185CCDCCFAD075EA43EDECC710C9;DEPTO DE FISICA /ICE;A5E1430867F8E3CDC52323620CF2876C;A;5;5;4;4;5;5;4;4;5;5;5;5;5;5;4;4;3;5;0;3;4;5;5
2019;3;DOCENTE_TURMA;B7F4185CCDCCFAD075EA43EDECC710C9;DEPTO DE FISICA /ICE;0A6A29A2AB4821673020F938C9F25B0E;A;5;5;4;4;5;5;4;4;5;5;5;5;5;5;4;4;3;5;0;3;4;5;5
2019;3;DOCENTE_TURMA;B7F4185CCDCCFAD075EA43EDECC710C9;DEPTO DE FISICA /ICE;BB2D349D2C5EE1211FA8B64086B6CF81;A;5;5;4;4;5;5;4;4;5;5;5;5;5;5;4;4;3;5;0;3;4;5;5
2019;3;DOCENTE_TURMA;B7F4185CCDCCFAD075EA43EDECC710C9;DEPTO DE FISICA /ICE;297FEC691EC2E839A12393FCB4665E9E;A;5;5;4;4;5;5;4;4;5;5;5;5;5;5;4;4;3;5;0;3;4;5;5
2019;3;DOCENTE_TURMA;2F448382C5CB080201AF6FA286BF5472;DEPTO DESPORTOS / EFID;6025FA626EC94D39C1F90C17F584A22C;A;5;4;5;4;4;5;5;4;5;5;0;5;5;5;4;4;4;5;0;4;4;5;5
2019;3;DOCENTE_TURMA;7B6C5C82FA1A58C9D92AB9749F88389A;DEPTO BIOQUIMICA /ICB;3DDC669FF8874F5EF3F0B540DD5D5728;A;5;4;5;5;5;5;5;4;5;5;5;5;5;5;3;3;3;4;5;0;4;5;5
2019;3;DOCENTE_TURMA;477885BBC9B3D9199CE921B67C196DF5;DEPTO DE CIENCIA DA COMPUTACAO /ICE;3545B2821FEF470D0F80A4DD6C1AC75F;A;5;5;5;5;4;5;5;5;5;0;0;4;4;0;5;4;3;0;0;0;5;5;5
2019;3;DOCENTE_TURMA;C9DD5F2DD8282C9D6F09303F3EFCEAB9;DEPTO DE CIENCIA DA COMPUTACAO /ICE;82945B1C0479DE84A40E484E2D8CF881;A;5;5;5;5;5;5;5;5;5;1;1;5;5;3;4;4;4;1;1;5;5;5;5
2019;3;DOCENTE_TURMA;67F315660AA9F46F4C8CCF975CFC917D;DEPTO DE CIENCIA DA COMPUTACAO /ICE;2EB93063B5133B902702FC537E7286CA;A;5;5;5;5;5;5;5;4;5;5;5;5;5;4;4;4;3;0;0;4;5;5;5
2019;3;DOCENTE_TURMA;67F315660AA9F46F4C8CCF975CFC917D;DEPTO DE CIENCIA DA COMPUTACAO /ICE;A53D342A0C29664302A87AF3A4A74595;A;5;5;5;5;5;5;5;4;5;5;5;5;5;4;4;4;4;0;0;4;5;5;5
2019;3;DOCENTE_TURMA;67F315660AA9F46F4C8CCF975CFC917D;DEPTO DE CIENCIA DA COMPUTACAO /ICE;87DB8329C1926939874EDA4815EF0859;A;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;0;0;4;5;5;5
2019;3;DOCENTE_TURMA;1087060ED54211EB107F50D0ABF67FD3;DEPTO DE MATEMATICA /ICE;B528CA94615CA589A5548FE5311F174B;A;5;5;4;3;0;5;3;4;5;5;5;5;0;0;0;0;0;0;0;0;0;0;5
2019;3;DOCENTE_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;0;0;3;5;5;5
2019;3;DOCENTE_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;F904F54168312750BBBF379E31F6B875;A;5;5;5;5;5;5;5;5;5;0;0;5;5;5;4;4;4;0;0;0;0;5;5
2019;3;DOCENTE_TURMA;BCE8B6B65E6CF5B158A1DC7B22090BF3;DEPTO DE FISICA /ICE;2EA4AD0D054FB15CD83D3FFF34BC566D;A;5;5;5;4;4;5;3;4;5;4;4;4;4;5;4;4;3;4;0;4;5;5;5
