Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;A turma se mostrou motivada para estudar a disciplina.;A turma teve facilidade para acompanhar acompanhar as atividades da disciplina;A turma se empenhou em acompanhar as atividades da disciplina.;Você apresentou plano de ensino contendo: ementa, objetivos, metodologias de ensino, critérios de avaliação, conteúdos e bibliografia da disciplina.;Os conteúdos trabalhados na disciplina foram coerentes com os que foram apresentados no plano de ensino.;Você deu retorno sobre todas as avaliações realizadas: correções, discussão dos pontos principais, esclarecimentos sobre os erros cometidos.;Os recursos didáticos, audiovisuais, tecnológicos empregados pelo(a) docente contribuíram para que a aula fosse mais produtiva.;Você cumpriu a carga horária prevista no semestre para a disciplina.;O grau de dificuldade das avaliações foi compatível com as aulas ministradas.;A disciplina contribuiu na preparação para o exercício profissional.;A disciplina contribuiu para a aquisição de formação teórica/prática na área. ;A disciplina contribuiu para a aquisição de cultura geral.;Você dispôs de horário de atendimento extra-classe.; As notas de todas as avaliações parciais foram divulgadas no SIGA até 3 (três) dias antes da data da avaliação subsequente, conforme determina o RAG. ;Você manteve um comportamento respeitoso e cortês em relação aos discentes.
2019;3;DOCENTE_TURMA;DAF4160E106020D40059F7BC4FDD04C2;DEPARTAMENTO DE EDUCAÇÃO;323FA37D00CFF64241C3F3AB44BE1DAD;A;4;4;3;4;5;5;4;5;5;5;4;4;3;4;5
2019;3;DOCENTE_TURMA;495FA573022FB0D94839D02EE1045915;DEPARTAMENTO DE EDUCAÇÃO;87D98A327F43482B6890ED1D0BAC04A4;A;3;2;3;5;5;5;5;5;5;5;5;5;5;0;5
2019;3;DOCENTE_TURMA;495FA573022FB0D94839D02EE1045915;DEPARTAMENTO DE EDUCAÇÃO;B08F7AB3888EAC31EBF0E136A8A87627;A;3;3;4;5;5;5;5;5;5;5;5;5;5;0;5
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;C5919EE547FBA919E9B14E4EED4431D3;DEPTO DE ODONT SOCIAL E INFANTIL /ODON;F29FEE89C2C17192ED3DB3413D2CC99A;T;4;5;4;5;5;5;5;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;C5919EE547FBA919E9B14E4EED4431D3;DEPTO DE ODONT SOCIAL E INFANTIL /ODON;C182CD2F872B89E746DBAFDA6A1FC4DB;T;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;EE82A43ECE2BE92300F01BBB6575131E;DEPTO DE PARASITOLOGIA, MICROBIOLOGIA E IMUNOLOGIA;DB1E242B79C69BDA65CB30573F092AE7;A;5;5;5;5;5;4;5;5;5;5;5;4;5;5;5
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;EE82A43ECE2BE92300F01BBB6575131E;DEPTO DE CLINICA MEDICA /MED;605FC9FB5979279D062BBE0BDED565B7;E;5;5;5;5;5;0;0;5;5;5;5;5;5;0;5
2019;3;DOCENTE_TURMA;E66032D945F034E05A48B1534E616C30;DEPTO DE QUIMICA /ICE;40BCD9922CB961F8D2C160D8BFADA8AD;A;3;3;4;5;5;5;4;5;5;5;5;3;5;5;5
2019;3;DOCENTE_TURMA;E66032D945F034E05A48B1534E616C30;DEPTO DE QUIMICA /ICE;67E5BA857729DB2989D010736B24B742;A;4;4;5;5;5;5;4;5;5;5;5;3;5;5;5
2019;3;DOCENTE_TURMA;E66032D945F034E05A48B1534E616C30;DEPTO DE QUIMICA /ICE;78FDE77C4F8C5580404605A620464FEC;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;01F1FF1B76AFA9A864E428A2DD9C23DD;DEPTO DE QUIMICA /ICE;AFCA79B2C4BCE10C53E9283C7A39D3F2;A;4;4;4;5;5;5;4;5;5;5;5;5;5;4;5
2019;3;DOCENTE_TURMA;01F1FF1B76AFA9A864E428A2DD9C23DD;DEPTO DE QUIMICA /ICE;170EAB2EAEC0FB614004BE2E014E8B2C;A;2;2;2;5;5;5;4;5;5;4;4;5;5;4;5
2019;3;DOCENTE_TURMA;01F1FF1B76AFA9A864E428A2DD9C23DD;DEPTO DE QUIMICA /ICE;86F78B72F72C1EEFEE1F433D5240E946;A;2;4;4;5;5;5;4;5;4;4;4;5;5;4;5
2019;3;DOCENTE_TURMA;01F1FF1B76AFA9A864E428A2DD9C23DD;DEPTO DE QUIMICA /ICE;86F78B72F72C1EEFEE1F433D5240E946;F;2;4;2;5;5;5;4;5;4;4;4;5;5;4;5
2019;3;DOCENTE_TURMA;01F1FF1B76AFA9A864E428A2DD9C23DD;DEPTO DE QUIMICA /ICE;86F78B72F72C1EEFEE1F433D5240E946;O;2;2;2;5;5;5;4;5;4;4;5;5;5;4;5
2019;3;DOCENTE_TURMA;721E15AC333365423C5E76518EE344AF;DEPTO DE QUIMICA /ICE;7B1AA1DDC6BC61898791DB385F81E780;A;4;3;3;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;721E15AC333365423C5E76518EE344AF;DEPTO DE QUIMICA /ICE;17928D891E7B4DB9A66300E9A2530201;A;4;4;4;5;5;5;4;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;721E15AC333365423C5E76518EE344AF;DEPTO DE QUIMICA /ICE;17928D891E7B4DB9A66300E9A2530201;B;4;4;4;5;5;5;4;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;CDE36C6B51BB4F6C140E84CF9FBF5631;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;BACF6EEFC39CBBBC135D88BEC6293730;A;3;3;3;5;5;5;4;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;CDE36C6B51BB4F6C140E84CF9FBF5631;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;36BC3AB3A056029D6AB53478FAA6FAE2;A;5;4;4;5;5;5;4;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;D59286A9668A013A05A0FBA408E068EF;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;B0AB942FBCF19576CF55A3C27981A192;A;3;4;4;5;5;4;5;5;5;5;5;4;5;4;5
2019;3;DOCENTE_TURMA;D59286A9668A013A05A0FBA408E068EF;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;6A1174F8069367C29F1B68DE2B7943FB;A;4;5;4;5;5;3;5;5;4;5;5;4;5;3;5
2019;3;DOCENTE_TURMA;D59286A9668A013A05A0FBA408E068EF;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;438811BEA4BC15699B85C9AC24C06B1C;C;4;5;4;5;5;4;5;5;4;5;5;4;5;2;5
