Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;Cursos;A turma se mostrou motivada para estudar a disciplina.;A turma teve facilidade para acompanhar acompanhar as atividades da disciplina;A turma se empenhou em acompanhar as atividades da disciplina.;Você apresentou plano de ensino contendo: ementa, objetivos, metodologias de ensino, critérios de avaliação, conteúdos e bibliografia da disciplina.;Os conteúdos trabalhados na disciplina foram coerentes com os que foram apresentados no plano de ensino.;Você deu retorno sobre todas as avaliações realizadas: correções, discussão dos pontos principais, esclarecimentos sobre os erros cometidos.;Os recursos didáticos, audiovisuais, tecnológicos empregados pelo(a) docente contribuíram para que a aula fosse mais produtiva.;Você cumpriu a carga horária prevista no semestre para a disciplina.;O grau de dificuldade das avaliações foi compatível com as aulas ministradas.;A disciplina contribuiu na preparação para o exercício profissional.;A disciplina contribuiu para a aquisição de formação teórica/prática na área. ;A disciplina contribuiu para a aquisição de cultura geral.;Você dispôs de horário de atendimento extra-classe.; As notas de todas as avaliações parciais foram divulgadas no SIGA até 3 (três) dias antes da data da avaliação subsequente, conforme determina o RAG. ;Você manteve um comportamento respeitoso e cortês em relação aos(às) discentes.
2018;3;DOCENTE_TURMA;0F79F0E67FAF572C53273F4B615C1E28;DEPARTAMENTO DE ANATOMIA;5E77D919B7A28F0635631EAC6A175BCD;A;16A;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;0F79F0E67FAF572C53273F4B615C1E28;DEPARTAMENTO DE ANATOMIA;9B90C2A83391770C3525AD0FC4DFF933;A;16A;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;0CD8E3C201E13D6168529BB2A3B2DAC8;DEPTO DE SAUDE COLETIVA/MED;70358D0D9D14AFC05DD04FB47EC830C4;A;CDARA|15A|55A|65D;4;4;4;4;4;3;3;5;5;5;5;5;4;3;5
2018;3;DOCENTE_TURMA;0CD8E3C201E13D6168529BB2A3B2DAC8;DEPTO DE SAUDE COLETIVA/MED;70358D0D9D14AFC05DD04FB47EC830C4;C;CDARA|15A;4;4;4;4;4;3;3;5;5;5;5;5;4;3;5
2018;3;DOCENTE_TURMA;0CD8E3C201E13D6168529BB2A3B2DAC8;DEPTO DE SAUDE COLETIVA/MED;BC40440B394EFEA5AEC8AD7F6584F24D;A;15A|15B|55A|65D;4;4;4;4;4;4;4;5;5;5;5;5;4;3;5
2018;3;DOCENTE_TURMA;0CD8E3C201E13D6168529BB2A3B2DAC8;DEPARTAMENTO DE MEDICINA VETERINÁRIA;78305B3D941A9F7B0DE0FC86E6BA95C3;A;87A;4;4;4;4;4;4;4;5;5;5;5;5;4;3;5
2018;3;DOCENTE_TURMA;03413AF10CB67B515C4730202781F3AA;DEPTO DE PSICOLOGIA /ICH;1F7A923A3C41438A7135390A58FC97E3;A;19A|32A|68A|72A|73A;4;4;4;5;5;5;5;5;4;5;5;4;4;4;5
2018;3;DOCENTE_TURMA;03413AF10CB67B515C4730202781F3AA;DEPTO DE PSICOLOGIA /ICH;375C0C8A0AF4436AAFAD32AB12FCB734;M;32A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;3;DOCENTE_TURMA;03413AF10CB67B515C4730202781F3AA;DEPTO DE PSICOLOGIA /ICH;A4824606730B6493AA2FF3BA819DDF65;M;32A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;3;DOCENTE_TURMA;03413AF10CB67B515C4730202781F3AA;DEPTO DE PSICOLOGIA /ICH;9639B6C8CA9B99DCEDA3BCF50F85CEF2;M;32A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;3;DOCENTE_TURMA;03413AF10CB67B515C4730202781F3AA;DEPTO DE PSICOLOGIA /ICH;45661364A5962E1E16B158F4D36E65AE;M;32A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;3;DOCENTE_TURMA;FB1BA7F016DDE99E3FCC0248184278BC;DEPTO DE QUIMICA /ICE;035DA4C5638FFF02F2F1A4EF8B670AC9;A;65AG|65G;3;2;3;5;5;5;5;5;5;5;5;5;5;4;5
2018;3;DOCENTE_TURMA;01F1FF1B76AFA9A864E428A2DD9C23DD;DEPTO DE QUIMICA /ICE;2351E7DA2CBBEB72156578DC87FB28BA;A;CDARA|07A|23A;4;3;4;5;5;5;4;5;4;4;5;5;5;5;5
2018;3;DOCENTE_TURMA;01F1FF1B76AFA9A864E428A2DD9C23DD;DEPTO DE QUIMICA /ICE;2E1BFFFE14B49A30D0AB1688CBAFB14C;E;CDARA|49A|67A|69B|71A;4;3;3;5;5;5;4;5;4;4;5;4;5;4;5
2018;3;DOCENTE_TURMA;01F1FF1B76AFA9A864E428A2DD9C23DD;DEPTO DE QUIMICA /ICE;2E1BFFFE14B49A30D0AB1688CBAFB14C;F;CDARA|71A;3;2;2;5;5;5;4;5;4;5;5;4;5;4;5
2018;3;DOCENTE_TURMA;01F1FF1B76AFA9A864E428A2DD9C23DD;DEPTO DE QUIMICA /ICE;86F78B72F72C1EEFEE1F433D5240E946;N;24A|65A|71A;4;4;4;5;5;5;4;5;4;4;5;4;5;4;5
2018;3;DOCENTE_TURMA;721E15AC333365423C5E76518EE344AF;DEPTO DE QUIMICA /ICE;7B1AA1DDC6BC61898791DB385F81E780;A;65A|65G|65G-ABI|83A;2;2;2;5;5;5;4;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;721E15AC333365423C5E76518EE344AF;DEPTO DE QUIMICA /ICE;E4A3C99DE942982599C612D5E0E7493B;B;07A;5;5;5;5;5;5;4;5;5;3;3;5;5;5;5
2018;3;DOCENTE_TURMA;721E15AC333365423C5E76518EE344AF;DEPTO DE QUIMICA /ICE;E4A3C99DE942982599C612D5E0E7493B;C;07A;1;1;2;5;5;5;4;5;5;3;3;5;5;5;5
2018;3;DOCENTE_TURMA;721E15AC333365423C5E76518EE344AF;DEPTO DE QUIMICA /ICE;E4A3C99DE942982599C612D5E0E7493B;D;07A;4;4;4;5;5;5;4;5;5;3;3;5;5;5;5
2018;3;DOCENTE_TURMA;BC57337C0BC2BC43CB716AE2306A27F8;DEPTO DE QUIMICA /ICE;7B1AA1DDC6BC61898791DB385F81E780;A;65A|65G|65G-ABI|83A;4;3;4;5;5;5;4;5;5;5;4;4;5;4;5
2018;3;DOCENTE_TURMA;BC57337C0BC2BC43CB716AE2306A27F8;DEPTO DE QUIMICA /ICE;F52906EEE302CB2CFBD867361B951BC6;C;65G|83A;4;4;5;5;5;5;4;5;5;5;4;4;5;4;5
2018;3;DOCENTE_TURMA;D59286A9668A013A05A0FBA408E068EF;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;B0AB942FBCF19576CF55A3C27981A192;A;24A;4;3;4;5;5;4;5;5;5;5;5;3;5;5;5
