Q01;O plano de ensino apresentado pelo(a) docente contém: ementa, objetivos, metodologias de ensino, critérios de avaliação, cronograma, conteúdos e bibliografia da disciplina.
Q02;O(A) docente cumpriu o plano de ensino apresentado.
Q03;Os conteúdos foram ministrados de forma clara.
Q04;As atividades pedagógicas (aulas, atividades online e presenciais e etc) estimularam a sua participação.
Q05;Os recursos didáticos, audiovisuais e tecnológicos disponíveis contribuíram para o processo de ensino e aprendizagem.
Q06;Os critérios de avaliação foram compatíveis com os conteúdos ministrados.
Q07;O(A) docente deu retorno sobre todas as atividades realizadas.
Q08;A atuação e disponibilidade do(a) docente foram satisfatórias.
Q09;O(A) docente manteve um comportamento respeitoso e cortês em relação aos discentes.
Q10;A atuação e disponibilidade do(a) tutor(a) à distância foram satisfatórias.
Q11;O(A) tutor(a) à distância manteve um comportamento respeitoso e cortês em relação aos discentes.
Q12;As atividades propostas contribuíram para a aprendizagem dos conteúdos.
Q13;A disciplina contribuiu na preparação para o exercício profissional.
Q14;A disciplina contribuiu para a aquisição de cultura geral.
Q15;Sua motivação para estudar esta disciplina foi alta.
Q16;Você teve facilidade para acompanhar as atividades da disciplina.
Q17;Seu empenho durante a disciplina foi elevado.
Q18;A atuação do(a) tutor(a) presencial foi satisfatória.
Q19;A atuação do(a) assistente à docência foi satisfatória.
Q20;As estruturas física e tecnológica do polo foram compatíveis e atenderam ao desenvolvimento das atividades.
Q21;A atuação do(a) coordenador(a) de curso foi satisfatória.
Q22;O trabalho da secretaria do curso na UFJF foi satisfatório.
Q23;A atuação da UFJF em relação aos alunos e polo-UAB é satisfatória.
