,Curso,Curso SIGA,NA,IRA
0,1109475,70A,63,61.66 (14.97)
1,1109485,69B,74,67.06 (13.29)
2,1109486,69C,72,66.79 (13.30)
3,1109487,69A,79,64.57 (13.99)
4,1109488,69D,59,60.56 (15.03)
5,1109489,71A,72,66.94 (14.35)
6,1120242,73A,207,78.82 (13.65)
7,1120244,65B,20,67.01 (17.33)
8,1128364,76A,59,64.64 (15.34)
9,1132074,78A,100,68.81 (11.26)
10,113531,65D,16,63.52 (19.46)
11,1153947,66B,13,74.83 (15.70)
12,1153948,66C,2,89.52 (1.44)
13,1153949,66D,7,77.14 (9.73)
14,1153950,66E,8,86.09 (4.58)
15,1153951,66F,5,80.42 (4.01)
16,116490,63G,12,81.26 (10.11)
17,116496,67A,65,64.44 (15.10)
18,116498,64A,119,77.52 (8.31)
19,116500,66A,202,80.61 (11.70)
20,116502,65A,73,57.00 (19.28)
21,1165350,73B,7,86.04 (4.63)
22,1165686,73BL,18,81.82 (5.44)
23,1166037,81A,19,54.39 (27.17)
24,1166038,82A,32,48.17 (18.39)
25,1166039,83A,33,46.87 (17.29)
26,1178675,04GV,119,82.09 (9.30)
27,1178683,03GV,62,68.23 (9.01)
28,1178684,01GV,67,65.50 (12.68)
29,1178688,08GV,77,71.50 (11.33)
30,1178689,06GV,95,71.30 (9.72)
31,1183351,02GV,56,69.62 (11.74)
32,1185503,05GV,99,64.66 (14.22)
33,1268972,87A,119,67.24 (15.42)
34,1268983,88A,40,76.61 (11.07)
35,1270439,10GV,52,69.54 (13.94)
36,1278855,89A,16,86.34 (5.79)
37,13086,01L,21,72.38 (8.82)
38,13087,73CL,2,87.44 (1.67)
39,13089,04A,124,83.09 (7.89)
40,13090,05A,147,69.65 (13.72)
41,13092,21L,12,74.66 (8.79)
42,13094,24A,191,69.89 (13.25)
43,13097,08L,17,78.35 (12.53)
44,13099,27L,79,74.65 (11.56)
45,13100,28L,29,85.33 (9.67)
46,13101,29ABI,104,79.19 (11.67)
47,13102,65FL,2,67.93 (5.52)
48,13103,15A,114,84.68 (9.42)
49,13104,16A,81,80.05 (8.28)
50,13105,17A,106,83.49 (11.44)
51,13106,65GL,9,70.58 (7.59)
52,13107,68A,73,79.56 (9.74)
53,13113,32A,53,82.97 (8.26)
54,13114,33A,98,80.41 (9.90)
55,13118,20A,56,79.70 (7.50)
56,1374873,91A,31,86.18 (7.01)
57,18518,35A,59,63.71 (17.83)
58,21589,93A,68,80.12 (11.49)
59,21860,34A,114,81.41 (9.70)
60,22451,26A,87,69.26 (14.01)
61,27657,84A,43,84.57 (8.97)
62,313086,01B,37,72.07 (12.10)
63,313087,73CB,6,77.28 (14.73)
64,313097,08B,11,81.82 (10.49)
65,313099,10B,34,75.49 (9.78)
66,313100,11B,14,77.76 (10.00)
67,313101,13B,14,81.59 (8.79)
68,313106,65GB,10,65.36 (9.91)
69,338994,23L,4,78.84 (8.80)
70,36356,85A,39,84.61 (7.32)
71,38509,07A,132,69.85 (11.67)
72,38594,49A,74,59.12 (15.55)
73,38994,23A,64,79.05 (6.38)
74,49788,50A,3,35.07 (4.91)
75,5000608,01ABI,21,72.09 (12.30)
76,5000609,73C,9,81.33 (6.48)
77,5000610,21ABI,61,74.83 (10.81)
78,5000611,08ABI,21,81.04 (12.45)
79,5000613,65E,22,63.11 (15.31)
80,5000616,28ABI,34,82.14 (13.33)
81,5000617,13ABI,29,79.38 (9.75)
82,5000618,65F,19,65.37 (16.22)
83,5000619,65G,24,59.24 (19.16)
84,5001167,07GV,74,83.99 (8.12)
85,5001168,09GV,78,76.72 (8.06)
86,65361,65C,23,67.01 (19.58)
