,NA,NF,Participante,Curso
0,154,718,Aluno,ADMINISTRAÇÃO
1,98,539,Aluno,ARQUITETURA E URBANISMO
2,7,27,Aluno,ARTES VISUAIS
3,13,54,Aluno,CINEMA E AUDIOVISUAL
4,82,453,Aluno,CIÊNCIA DA COMPUTAÇÃO
5,7,26,Aluno,CIÊNCIA DA RELIGIÃO
6,18,50,Aluno,CIÊNCIA DA RELIGIÃO 
7,79,577,Aluno,CIÊNCIAS BIOLÓGICAS
8,156,715,Aluno,CIÊNCIAS CONTÁBEIS
9,209,968,Aluno,CIÊNCIAS ECONÔMICAS
10,73,436,Aluno,CIÊNCIAS EXATAS 
11,17,57,Aluno,CIÊNCIAS SOCIAIS
12,7,38,Aluno,DESIGN
13,357,1900,Aluno,DIREITO
14,125,733,Aluno,EDUCAÇÃO FÍSICA
15,68,576,Aluno,ENFERMAGEM
16,65,318,Aluno,ENGENHARIA AMBIENTAL E SANITÁRIA
17,191,1200,Aluno,ENGENHARIA CIVIL
18,20,132,Aluno,ENGENHARIA COMPUTACIONAL
19,74,414,Aluno,ENGENHARIA DE PRODUÇÃO
20,3,12,Aluno,ENGENHARIA ELÉTRICA
21,63,328,Aluno,ENGENHARIA ELÉTRICA - ENERGIA
22,74,454,Aluno,ENGENHARIA ELÉTRICA - ROBÓTICA E AUTOMAÇÃO INDUSTRIAL
23,72,413,Aluno,ENGENHARIA ELÉTRICA - SISTEMAS DE POTÊNCIA
24,79,432,Aluno,ENGENHARIA ELÉTRICA - SISTEMAS ELETRÔNICOS
25,59,328,Aluno,ENGENHARIA ELÉTRICA - TELECOMUNICAÇÕES
26,72,409,Aluno,ENGENHARIA MECÂNICA
27,16,91,Aluno,ESTATÍSTICA
28,231,1882,Aluno,FARMÁCIA
29,49,213,Aluno,FILOSOFIA
30,151,872,Aluno,FISIOTERAPIA
31,41,212,Aluno,FÍSICA
32,113,551,Aluno,GEOGRAFIA
33,77,362,Aluno,HISTÓRIA
34,202,1087,Aluno,INTERDISCIPLINAR EM ARTES E DESIGN
35,207,808,Aluno,INTERDISCIPLINAR EM CIÊNCIAS HUMANAS
36,82,361,Aluno,JORNALISMO
37,147,721,Aluno,LETRAS
38,40,132,Aluno,LETRAS - LIBRAS
39,53,259,Aluno,MATEMÁTICA
40,188,2587,Aluno,MEDICINA
41,119,925,Aluno,MEDICINA VETERINÁRIA
42,8,53,Aluno,MODA
43,28,145,Aluno,MÚSICA
44,196,1245,Aluno,NUTRIÇÃO
45,159,1533,Aluno,ODONTOLOGIA
46,106,431,Aluno,PEDAGOGIA
47,53,275,Aluno,PSICOLOGIA
48,66,355,Aluno,QUÍMICA
49,10,64,Aluno,QUÍMICA 
50,31,218,Aluno,"RÁDIO, TV E INTERNET"
51,26,124,Aluno,SERVIÇO SOCIAL
52,47,179,Aluno,SERVIÇO SOCIAL 
53,59,234,Aluno,SISTEMAS DE INFORMAÇÃO 
54,68,274,Aluno,TURISMO
